Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.7665383269163458,0.7782418041344749,0.7454745474547455,0.7615058487000052
Random Forest,0.9640482024101205,0.9707792207792207,0.9568956895689569,0.9637874590783178
Linear SVM,0.768288414420721,0.8080146974394304,0.7037703770377037,0.752298481932863
